Josef Fruehwald, 21, m, w, 15, Philadelphia, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
OW	1	OKAY	556.2	1130.5	1948.4	172.7	166.1	510.9	334.393	334.36	334.49	0.13	62	1	6	1	0	1			562.0	1149.9	531.0	1080.8	585.0	1066.0	517.1	1129.3	519.6	1152.9	6
EY	1	OKAY	649.7	1810.4	2442.6	320.1	203.3	1243.1	334.581	334.56	334.61	0.05	22	0	0	0	6	0			575.8	1801.9	627.6	1810.8	644.7	1805.8	637.3	1789.0	623.1	1773.1	5
AH	0	MHM	371.7	1066.3	1960.9	205.3	254.4	430.3	339.656	339.639	339.689	0.05	6	4	1	2	0	4			380.1	1070.4	371.7	1066.3	375.3	1025.0	387.2	974.8	377.2	916.4	6
AE	1	THAT'S	594.2	1520.4	2244.7	160.3	235.4	482.0	360.132	360.115	360.165	0.05	3	1	4	1	3	3			579.5	1529.1	594.2	1520.4	598.7	1504.8	589.6	1495.6	595.8	1491.1	6
OW	1	OKAY	535.7	1061.7	2763.7	97.2	114.0	1059.6	376.81	376.803	376.903	0.1	62	1	6	1	0	1			532.6	1057.7	527.0	1053.0	507.2	1046.0	471.4	1060.8	467.0	1086.4	5
EY	1	OKAY	655.0	1724.7	2980.0	180.7	431.6	378.6	377.027	376.943	377.123	0.18	22	0	0	0	6	0			585.9	1619.1	603.9	1648.9	645.0	1718.9	653.4	1800.4	618.2	1873.3	4
OW	1	OKAY	538.6	1124.3	2356.8	127.7	138.2	1458.0	377.413	377.383	377.483	0.1	62	1	6	1	0	1			555.2	1137.2	532.5	1116.2	501.6	1033.7	471.6	1031.1	476.4	1081.2	6
EY	1	OKAY	648.4	1767.8	3352.1	246.6	675.8	369.3	377.565	377.553	377.693	0.14	22	0	0	0	6	0			582.7	1598.8	583.2	1641.0	580.8	1582.0	580.8	1576.0	606.5	1558.7	4
AH	1	WHAT	487.4	1475.4	2600.3	159.0	348.9	1045.6	377.91	377.893	377.943	0.05	6	1	4	1	9	0			477.1	1414.5	487.4	1475.4	497.6	1519.7	504.4	1502.3	511.4	1469.4	5
OW	1	OKAY	670.2	1029.6	1517.0	487.2	611.0	1258.9	380.409	380.402	380.462	0.06	62	1	6	1	0	1			670.2	1029.6	650.0	1024.3	567.5	1017.8	513.9	1046.7	484.3	1081.5	6
EY	1	OKAY	550.4	1461.0	2139.4	131.9	271.7	806.7	380.554	380.542	380.652	0.11	22	0	0	0	6	0			537.3	1418.2	526.8	1404.4	549.7	1472.6	538.3	1591.7	588.8	1694.3	5
UW	1	COOL	411.7	993.8	1687.7	242.3	505.0	610.0	389.529	389.416	389.756	0.34	72	5	4	2	6	0			396.5	1131.0	407.0	966.9	446.2	1110.3	448.4	1012.7	318.0	1054.0	3
AW	1	WOW	599.7	1247.7	2054.0	358.3	340.9	589.5	392.485	392.478	392.598	0.12	42	0	0	0	9	0			605.8	1265.6	607.7	1342.9	583.6	1251.1	508.7	1210.0	425.3	1195.3	6
AH	0	INTERESTING	495.0	1476.4	2291.3	39.7	169.8	1667.2	411.896	411.856	411.976	0.12	6	3	4	1	8	4			484.0	1472.2	497.5	1477.4	503.1	1513.2	527.4	1507.8	516.6	1478.6	6
AE	1	YEAH	519.6	1710.3	2623.8	107.5	100.1	354.2	420.938	420.871	421.071	0.2	3	0	0	0	9	0			526.5	1844.4	522.0	1701.5	530.8	1656.3	534.1	1690.2	508.7	1615.5	5
AE	1	YEAH	498.0	1625.1	2540.8	88.7	64.7	309.7	421.751	421.711	421.831	0.12	3	0	0	0	9	0			483.6	1689.5	501.2	1624.0	512.0	1615.7	529.4	1637.4	520.7	1630.3	5
AH	1	HUH	558.7	1211.7	2882.4	95.0	192.2	694.9	446.298	446.271	446.351	0.08	6	0	0	0	0	0			567.2	1203.1	559.2	1214.6	591.8	1218.4	646.7	1200.9	681.0	1222.8	5
OW	1	OKAY	470.8	1167.7	2045.9	133.2	293.7	1093.3	452.168	452.161	452.251	0.09	62	1	6	1	0	1			452.1	1190.3	434.5	1152.5	459.3	1121.1	483.4	1132.8	488.9	1157.2	6
AE	1	YEAH	557.8	1651.3	2846.4	115.7	211.5	664.3	456.745	456.715	456.805	0.09	3	0	0	0	9	0			561.3	1656.3	558.6	1658.6	555.0	1713.3	578.8	1688.9	603.4	1622.2	5
OW	1	THOUGH	448.0	1371.4	2579.3	97.3	402.5	287.3	457.522	457.505	457.605	0.1	63	0	0	0	3	0			448.9	1373.2	487.2	1438.5	476.5	1481.1	442.0	1428.0	466.0	1452.1	5
AW	1	ABOUT	576.7	1363.2	2540.8	95.9	194.7	284.1	460.744	460.724	460.814	0.09	42	1	4	1	1	0			574.9	1353.5	615.8	1420.9	630.0	1396.8	597.0	1356.1	583.9	1350.4	5
AH	0	ABOUT	486.3	1230.2	2585.8	109.4	113.6	360.6	460.897	460.874	460.944	0.07	6	1	1	2	0	1			512.5	1257.2	483.7	1230.5	471.7	1234.1	473.8	1222.9	487.5	1222.8	5
AW	1	ABOUT	632.9	1277.1	2574.3	160.7	147.6	1301.3	461.027	460.994	461.164	0.17	42	1	4	1	1	0			635.9	1279.7	716.1	1299.4	646.1	1193.9	688.1	1209.0	648.8	1219.2	6
IY	0	FAMILY	569.4	1961.9	3633.1	291.2	593.0	378.0	461.544	461.514	461.604	0.09	12	0	0	0	7	0			541.3	1903.9	569.3	1961.4	577.3	1949.5	603.5	2009.8	562.2	1776.3	4
AY	1	LIKE	518.1	1330.2	2832.7	76.2	115.5	140.1	462.064	462.077	462.147	0.07	47	1	6	1	7	0			501.2	1543.7	500.8	1621.3	477.0	1658.0	452.1	1687.3	466.4	1710.9	5
ER	0	WERE	433.9	1466.1	1893.9	80.7	192.7	58.7	462.714	462.687	462.767	0.08	94	0	0	0	9	0			465.4	1409.1	430.2	1469.1	390.2	1504.4	376.8	1521.1	372.2	1613.5	6
AH	1	YOUNG	571.5	1381.3	2816.2	136.6	186.2	190.8	462.89	462.867	462.937	0.07	6	4	6	2	9	0			535.9	1419.3	574.4	1383.5	579.8	1406.2	549.6	1392.8	524.0	1352.1	5
IH	1	DID	325.8	1737.2	2469.6	143.6	317.0	635.6	465.868	465.851	465.901	0.05	1	1	4	2	3	0			345.5	1726.1	325.8	1737.2	323.4	1832.4	325.5	1865.7	326.0	1848.4	5
AY	1	LIKE	517.2	1282.4	2147.6	69.6	361.0	355.6	466.227	466.211	466.291	0.08	47	1	6	1	7	0		s	517.2	1282.4	497.7	1386.5	469.5	1363.5	488.4	1379.0	554.4	1426.9	6
ER	1	CURFEWS	473.6	1307.2	1684.8	57.0	143.1	152.5	466.468	466.411	466.581	0.17	94	3	2	1	6	1			494.0	1313.0	465.4	1305.1	462.6	1347.3	502.5	1290.1	492.4	1333.5	6
UW	0	CURFEWS	368.8	1432.1	2126.0	131.6	348.4	307.2	466.774	466.751	466.821	0.07	72	3	4	2	9	0			355.7	1479.6	369.7	1430.4	364.9	1441.2	350.5	1505.7	357.6	1533.7	3
AH	0	AT	418.3	1440.1	2453.9	66.3	168.5	345.9	466.871	466.851	466.911	0.06	6	1	4	1	0	0			394.0	1432.6	420.3	1441.1	436.6	1420.0	459.4	1420.0	453.9	1423.8	6
ER	0	OR	443.9	1238.6	1780.6	105.2	489.5	480.3	467.324	467.251	467.471	0.22	94	0	0	0	0	0			459.2	1294.4	448.0	1231.7	385.8	1358.3	514.1	1309.5	518.1	1321.0	6
IY	0	BE	391.1	2273.5		626.8	258.5		468.114	468.081	468.181	0.1	12	0	0	0	1	0			435.6	2333.0	398.5	2265.4	373.7	2255.4	373.5	2294.8	415.7	2303.1	4
IH	1	IN	462.7	1757.6	2382.9	86.2	535.9	308.5	468.198	468.181	468.231	0.05	1	4	4	2	0	0			460.2	2013.7	462.7	1757.6	457.7	1444.5	438.9	1177.7	414.1	992.5	6
AY	1	NIGHT	639.6	1508.4	2376.6	134.1	422.1	682.7	469.144	469.101	469.191	0.09	47	1	4	1	4	0		s	583.4	1451.6	615.3	1379.9	638.9	1538.5	633.2	1687.1	632.2	1621.6	5
AE	1	YEAH	526.2	1788.3	2699.9	163.2	178.7	312.5	482.198	482.181	482.231	0.05	3	0	0	0	9	0			506.0	1800.8	526.2	1788.3	572.4	1795.0	590.0	1792.1	581.4	1778.0	5
OW	1	OKAY	571.5	1188.5	1914.4	258.7	641.9	110.0	488.412	488.404	488.454	0.05	62	1	6	1	0	1			571.5	1188.5	565.8	1131.9	544.8	1206.6	535.6	1333.8	554.5	1374.9	6
AH	1	HUH	525.0	1211.1	2719.2	191.3	355.5	471.2	514.588	514.528	514.708	0.18	6	0	0	0	0	0			553.6	1224.8	523.6	1197.2	576.9	1147.2	500.6	1159.2	631.1	1332.7	5
OW	1	OKAY	449.8	1150.7	1872.2	137.6	343.6	436.5	535.923	535.914	536.004	0.09	62	1	6	1	0	1			450.9	1145.6	442.6	1120.2	424.2	1102.5	418.6	1142.0	433.7	1209.1	6
AE	1	YEAH	534.5	1713.1	2749.8	232.4	156.4	412.5	538.927	538.887	539.007	0.12	3	0	0	0	9	0			493.4	1797.1	537.5	1709.5	528.1	1684.5	557.8	1683.0	568.5	1697.8	4
AE	1	YEAH	535.8	1621.0	2643.2	68.1	187.2	558.7	566.666	566.633	566.733	0.1	3	0	0	0	9	0			532.9	1569.2	535.3	1628.9	552.1	1625.4	557.0	1566.5	532.1	1543.8	5
AH	1	UH	457.9	1157.3	1887.1	241.2	305.9	1079.7	570.017	569.994	570.064	0.07	6	0	0	0	0	0			485.1	1137.1	458.0	1155.7	461.5	1151.9	460.6	1204.8	484.6	1267.5	6
OW	1	OH	580.6	1018.1	2022.0	169.5	216.5	155.3	581.168	581.158	581.238	0.08	63	0	0	0	0	0			586.5	1026.2	574.4	1047.8	530.4	1076.0	519.4	1130.7	534.4	1215.9	6
AE	1	YEAH	495.5	1757.6	2586.1	135.8	254.2	846.6	617.854	617.824	617.914	0.09	3	0	0	0	9	0			498.6	1829.8	494.1	1754.2	478.4	1768.2	546.4	1772.8	639.1	1697.2	5
AE	1	YEAH	634.9	1663.0	2752.9	293.6	162.8	1195.7	651.093	651.063	651.153	0.09	3	0	0	0	9	0			583.1	1645.6	639.9	1662.5	686.6	1673.7	666.9	1699.1	731.3	1734.0	5
UW	1	DO	465.9	1524.3	2676.1	59.8	162.0	496.7	668.973	668.966	669.026	0.06	73	0	0	0	3	0			465.9	1524.3	469.7	1509.7	475.1	1490.3	475.2	1499.2	472.1	1527.6	5
IH	1	THINK	424.5	1690.7	2445.1	169.5	273.8	296.2	669.176	669.156	669.216	0.06	1	4	6	2	3	3			450.2	1714.5	427.0	1690.7	435.4	1728.5	423.4	1771.9	392.4	1781.9	6
IY	1	PEOPLE	362.8	1671.6	2184.8	188.5	152.6	731.7	669.326	669.306	669.366	0.06	11	1	1	1	1	1			355.9	1655.4	363.3	1670.0	372.3	1640.2	361.8	1582.9	364.8	1481.3	6
UW	1	WHO	416.8	1048.7	2457.1	230.0	52.2	172.3	669.546	669.516	669.606	0.09	72	0	0	0	0	0			388.7	1055.4	417.6	1048.2	426.5	1034.3	424.4	1033.2	430.2	1071.2	3
OW	1	GO	506.8	1361.3	2192.0	107.0	280.3	488.4	669.693	669.686	669.796	0.11	63	0	0	0	6	0			496.4	1326.1	472.4	1301.6	477.9	1284.4	450.1	1280.0	442.8	1365.7	6
IH	0	TO	436.0	1626.5	1886.2	163.5	128.8	223.6	669.986	669.956	670.046	0.09	1	0	0	0	3	0			445.8	1611.6	435.0	1627.9	435.9	1667.2	435.1	1648.0	430.8	1597.9	6
ER	0	ARE	596.2	1658.5	3290.4	621.8	130.5	1177.4	670.353	670.316	670.426	0.11	94	0	0	0	0	0			575.6	1599.0	591.9	1656.2	534.7	1638.1	521.4	1678.8	493.2	1643.2	5
OW	1	THOSE	498.2	1258.8	2442.7	94.9	134.1	540.8	671.223	671.216	671.316	0.1	62	3	4	2	3	0			498.2	1258.8	499.1	1238.6	491.7	1221.0	462.3	1193.0	441.0	1211.1	5
UW	1	WHO	420.8	1568.0	2135.8	211.4	527.3	412.4	671.446	671.416	671.506	0.09	72	0	0	0	0	0			408.1	1637.0	419.8	1564.7	407.2	1633.8	402.6	1589.5	408.3	1517.7	3
OW	1	DON'T	558.8	1183.5	2725.8	238.9	260.1	1182.5	671.538	671.526	671.766	0.24	62	4	4	2	3	0			582.8	1240.1	510.4	1185.0	622.7	972.4	566.0	1374.5	513.7	1051.1	5
ER	0	OR	492.1	1188.4	1879.9	126.8	262.5	643.1	672.043	672.026	672.076	0.05	94	0	0	0	0	0			504.8	1184.6	492.1	1188.4	481.5	1182.7	482.3	1162.2	501.2	1163.9	6
OW	1	OKAY	509.3	1131.0	1942.5	180.5	280.4	977.3	673.463	673.41	673.59	0.18	62	1	6	1	0	1			520.4	1116.5	544.6	1116.2	507.2	1056.4	453.7	1124.1	567.6	1124.4	6
OW	1	OKAY	554.3	1121.5	2102.8	107.2	223.5	791.4	684.623	684.611	684.691	0.08	62	1	6	1	0	1			554.5	1131.5	563.0	1118.7	529.6	1081.1	484.1	1072.1	487.6	1110.4	6
EY	1	OKAY	661.0	1595.7	3294.1	184.0	479.6	847.4	684.792	684.771	684.821	0.05	22	0	0	0	6	0			660.1	1595.5	659.3	1593.7	653.1	1604.8	656.1	1624.8	664.0	1635.5	4
OW	1	OKAY	545.9	1198.6	2358.0	100.2	147.4	627.7	693.735	693.708	693.818	0.11	62	1	6	1	0	1			550.6	1209.5	541.5	1187.3	642.0	1284.0	604.8	1322.8	520.3	1181.2	6
EY	1	OKAY	550.4	1475.8	2480.8	122.6	152.9	891.2	693.9	693.888	693.948	0.06	22	0	0	0	6	0			550.4	1475.8	548.1	1483.9	539.7	1493.9	559.4	1524.7	594.8	1572.6	5
IH	1	THINK	585.4	1194.4	2546.5	182.6	134.9	221.7	695.029	695.006	695.076	0.07	1	4	6	2	3	3			583.1	1201.4	585.3	1194.4	580.7	1182.1	610.6	1168.5	617.4	1176.2	5
OW	1	OKAY	578.4	1180.9	2514.2	134.5	286.3	406.0	702.215	702.194	702.344	0.15	62	1	6	1	0	1			618.1	1156.1	637.7	1164.7	492.8	1051.4	489.2	1112.0	489.1	1142.3	6
EY	1	OKAY	557.4	1563.9	2355.7	162.6	158.6	403.2	702.438	702.394	702.484	0.09	22	0	0	0	6	0			493.8	1523.7	521.4	1547.9	557.0	1561.6	514.8	1553.4	501.3	1542.0	6
AE	1	UNDERSTAND	531.1	1692.1	2823.5	246.7	247.4	597.0	719.223	719.196	719.276	0.08	33	4	4	2	3	3			533.4	1673.2	529.7	1693.5	514.8	1677.5	516.1	1630.4	509.1	1594.9	3
AW	1	WOW	614.2	1406.5	2607.9	197.8	628.8	289.9	815.908	815.883	816.003	0.12	42	0	0	0	9	0			614.2	1406.5	656.4	1366.5	662.3	1474.4	699.5	1490.1	798.7	1630.2	5
AW	1	WOW	707.3	1446.7	1949.4	73.7	85.6	810.0	817.145	817.103	817.273	0.17	42	0	0	0	9	0			702.7	1432.5	728.3	1431.2	781.5	1371.4	723.3	1221.3	715.9	1282.6	6
